Campus #	Campus
101	Birdville ES
102	David E Smith ES
104	Binion ES
105	Mullendore ES
107	Smithfield ES
108	Snow Heights ES
109	Cheney Hills ES
110	Stowe ES
111	West Birdville ES
112	Holiday Heights ES
113	Watauga ES
114	Hardeman ES
115	Porter ES
116	ACFT ES
117	Foster Village ES
118	North Ridge ES
119	Spicer ES
120	Green Valley ES
121	Walker Creek ES
041	Haltom MS
042	North Richland MS
043	Richland MS
044	North Oaks MS
045	Watauga MS
046	Smithfield MS
047	North Ridge MS
001	Haltom HS
002	Richland HS
010	Birdville HS
006	DAEP
012	Griggs HS
902	Kunkel
000	District
